Jour;Close
1;31176.01
2;30996.98
3;30960.00
4;30937.04
5;30303.17
6;30603.36
7;29982.62
8;30211.91
9;30687.48
10;30723.60
11;31055.86
12;31148.24
13;31385.76
14;31375.83
15;31437.80
16;31430.70
17;31458.40
18;31522.75
19;31613.02
20;31493.34
21;31494.32
22;31521.69
23;31537.35
24;31961.86
25;31402.01
26;30932.37
27;31535.51
28;31391.52
29;31270.09
30;30924.14
31;31496.30
32;31802.44
33;31832.74
34;32297.02
35;32485.59
36;32778.64
37;32953.46
38;32825.95
39;33015.37
40;32862.30
41;32627.97
42;32731.20
43;32423.15
44;32420.06
45;32619.48
46;33072.88
47;33171.37
48;33066.96
49;32981.55
50;33153.21
51;33527.19
52;33430.24
53;33446.26
54;33503.57
55;33800.60
56;33745.40
57;33677.27
58;33730.89
59;34035.99
60;34200.67
61;34077.63
62;33821.30
63;34137.31
64;33815.90
65;34043.49
66;33981.57
67;33984.93
68;33820.38
69;34060.36
70;33874.85
71;34113.23
72;34133.03
73;34230.34
74;34548.53
75;34777.76
76;34742.82
77;34269.16
78;33587.66
79;34021.45
80;34382.13
81;34327.79
82;34060.66
83;33896.04
84;34084.15
85;34207.84
86;34393.98
87;34312.46
88;34323.05
89;34464.64
90;34529.45
91;34575.31
92;34600.38
93;34577.04
94;34756.39
95;34630.24
96;34599.82
97;34447.14
98;34466.24
99;34479.60
100;34393.75
101;34299.33
102;34033.67
103;33823.45
104;33290.08
105;33876.97
106;33945.58
107;33874.24
108;34196.82
109;34433.84
110;34283.27
111;34292.29
112;34502.51
113;34633.53
114;34786.35
115;34577.37
116;34681.79
117;34421.93
118;34870.16
119;34996.18
120;34888.79
121;34933.23
122;34987.02
123;34687.85
124;33962.04
125;34511.99
126;34798.00
127;34823.35
128;35061.55
129;35144.31
130;35058.52
131;34930.93
132;35084.53
133;34935.47
134;34838.16
135;35116.40
136;34792.67
137;35064.25
138;35208.51
139;35101.85
140;35264.67
141;35484.97
142;35499.85
143;35515.38
144;35625.40
145;35343.28
146;34960.69
147;34894.12
148;35120.08
149;35335.71
150;35366.26
151;35405.50
152;35213.12
153;35455.80
154;35399.84
155;35360.73
156;35312.53
157;35443.82
158;35369.09
159;35100.00
160;35031.07
161;34879.38
162;34607.72
163;34869.63
164;34577.57
165;34814.39
166;34751.32
167;34584.88
168;33970.47
169;33919.84
170;34258.32
171;34764.82
172;34798.00
173;34869.37
174;34299.99
175;34390.72
176;33843.92
177;34326.46
178;34002.92
179;34314.67
180;34416.99
181;34754.94
182;34746.25
183;34496.06
184;34378.34
185;34377.81
186;34912.56
187;35294.76
188;35258.61
189;35457.31
190;35609.34
191;35603.08
192;35677.02
193;35741.15
194;35756.88
195;35490.69
196;35730.48
197;35819.56
198;35913.84
199;36052.63
200;36157.58
201;36124.23
202;36327.95
203;36432.22
204;36319.98
205;36079.94
206;35921.23
207;36100.31
208;36087.45
209;36142.22
210;35931.05
211;35870.95
212;35601.98
213;35619.25
214;35813.80
215;35804.38
216;34899.34
217;35135.94
218;34483.72
219;34022.04
220;34639.79
221;34580.08
222;35227.03
223;35719.43
224;35754.75
225;35754.69
226;35970.99
227;35650.95
228;35544.18
229;35927.43
230;35897.64
231;35365.44
232;34932.16
233;35492.70
234;35753.89
235;35950.56
236;36302.38
237;36398.21
238;36488.63
239;36398.08
240;36338.30
241;36585.06
242;36799.65
243;36407.11
244;36236.47
245;36231.66
246;36068.87
247;36252.02
248;36290.32
249;36113.62
250;35911.81
251;35368.47
252;35028.65
253;34715.39
